JIP Classification		"Real gross output (million yen, in chain-linked 2011 prices)"																					
No.	Industry Name	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
78	Communications	5207906.819	5842308.361	7087126.408	8529614.231	9444265.338	11245167.69	12955184.74	14059146.18	14605210.88	14681992.75	14062732.5	13752149.66	14825206.41	15781672.35	16201405.3	16650827.87	18040393.67	19470330	19858118	20589244.13	20896581.83	21387101.02
79	Broadcasting	2443686.356	2690773.545	2993713.099	3088033.156	3049127.152	3062637.19	3177560.746	3267986.811	3416661.044	3525985.93	3566100.263	3607496.205	3689631.38	3786730.972	3850802.574	3996025.377	4080311.526	4161126	4138434	4172353.326	4055630.085	4005408.452
80	Information services	6258062.163	6709938.353	8021735.417	8916978.053	10921765.89	11928168.24	13212855.1	14963616.9	16125757.8	16894585.77	17398436.12	17954205.19	18372832.08	18787153.51	19211554.62	18468314.93	18135428.38	17847859	18368227	18828160.38	19045463.91	19397210.03
81	"Image information, sound information and character information production"	6704407.259	6816590.639	7044685.052	7073892.559	7315098.08	7222425.646	7513721.844	7558465.908	7554181.667	7626289.334	7747859.683	7778966.684	7562319.722	7346339.982	7154166.252	6721842.946	6457888.514	6136388	6149709	6014854.116	5851160.461	6018428.805
82	Finance	22355406.72	22176170.4	22907548.97	23149355.08	23443946.74	24186412.78	24689349.12	24424354.52	24058819.36	23887835.79	24293427.5	25268602.44	25619314.61	26040571.64	24033283.99	23538459.04	23593385.33	23260379	22957559	24694046.85	24359682.85	25156626.44
83	Insurance	15905339.93	14833242.15	15498588.97	15639114.54	14373689.52	13101676.77	12405343.9	11713011.19	12156893.42	12463657.96	12244851.59	12918210.83	13344742.67	14822765.41	12128621.75	11911101.38	11476726.09	11315961	11985676	12523204.88	12643814.49	13682707.28
84	Housing	36595468.07	37391268.57	38229364	39065788.06	39780356.38	40678134.45	41708713.36	42720108.71	43661331.82	44567178.42	45346696.3	45917051.48	46502965.57	47107468.02	47654255.45	48268916.38	48865694.62	49284586	49934066	50683849.76	51421753.49	52065258.52
85	Real estate	20809229.22	20588872.76	20658980.7	20331396.49	20006091.64	19666966.73	20093047.94	20482694.4	20521655.94	20518825.5	20640752.57	20812671.86	21701089.65	22447664.63	23137191.35	23843532.18	24810381.29	25677926	25786534	26052761.91	26082128.83	26072311.73
86	Research	3575950.489	3696649.709	3835491.077	3943243.828	4063517.152	4111743.444	4290155.538	4441938.34	4537896.5	4619805.248	4361732.543	4248814.101	4441394.719	4495228.557	4444031.355	4394175.747	4248955.619	4126219	4025135	3964313.32	4134055.566	4324892.65
87	Advertising	6124421.121	6577166.76	7034833.843	7254316.325	7945811.218	7614027.215	8153728.36	8125981.231	7717960.948	7812503.28	8053302.865	8295796.382	8095142.774	7627188.014	7604084.14	6410990.514	6240689.992	5933478	6185165	6260146.284	6315094.68	6408006.693
88	Rental of office equipment and goods	4970957.992	4952830.265	5312066.851	5493810.389	5867707.748	6516331.232	7173632.767	7581746.951	7796881.549	8215794.702	8878986.12	9323558.604	8950522.59	8658080.874	8542604.826	8808207.232	9412116.609	9794502	10554806	10280964.29	10196878.17	10312221.59
89	Automobile maintenance services	8529104	8203794.621	8848217.6	9393724.821	9290570.918	9887577.041	10577634.81	9718796.744	9565829.702	9764881.297	9986744.185	9995145.142	9573688.295	8974653.848	7863397.04	6166627.805	6399253.979	5437681	5367592	5307839.952	5464522.247	5446817.461
90	Other services for businesses	20970701.46	20642083.05	21634478.37	22018287.13	22157546.34	21788361.13	24324300.29	24948439.45	25209979.73	25997136.07	27021301.46	29383913.17	31863775.52	35084864.4	37736405.01	36086745.77	36266421.43	38038574	37670906	38728827.15	38183132.32	39143642.55
